REPORTER ID 	miRNA ID
A_25_P00012588	hsa-miR-520d-3p
A_25_P00012585	hsa-miR-520d-5p
A_25_P00010562	hsa-miR-520e
A_25_P00010080	hsa-miR-520f
A_25_P00010169	hsa-miR-520g
A_25_P00014879	hsa-miR-520h
A_25_P00010173	hsa-miR-521
A_25_P00012611	hsa-miR-522
A_25_P00014118	hsa-miR-523
A_25_P00010291	hsa-miR-524-3p
A_25_P00010717	hsa-miR-524-5p
A_25_P00012547	hsa-miR-525-3p
A_25_P00014873	hsa-miR-525-5p
A_25_P00012540	hsa-miR-526b
A_25_P00010783	hsa-miR-526b*
A_25_P00014136	hsa-miR-527
A_25_P00012692	hsa-miR-532-3p
A_25_P00010270	hsa-miR-532-5p
A_25_P00014893	hsa-miR-539
A_25_P00012944	hsa-miR-541
A_25_P00013665	hsa-miR-541*
A_25_P00011125	hsa-miR-542-3p
A_25_P00012859	hsa-miR-542-5p
A_25_P00013015	hsa-miR-543
A_25_P00012702	hsa-miR-544
A_25_P00012706	hsa-miR-545
A_25_P00013612	hsa-miR-545*
A_25_P00010748	hsa-miR-548a-3p
A_25_P00012780	hsa-miR-548a-5p
A_25_P00010122	hsa-miR-548b-3p
A_25_P00012754	hsa-miR-548b-5p
A_25_P00010742	hsa-miR-548c-3p
A_25_P00012797	hsa-miR-548c-5p
A_25_P00010738	hsa-miR-548d-3p
A_25_P00012836	hsa-miR-548d-5p
A_25_P00010366	hsa-miR-549
A_25_P00012766	hsa-miR-550
A_25_P00010448	hsa-miR-550*
A_25_P00011473	hsa-miR-551a
A_25_P00014894	hsa-miR-551b
A_25_P00013617	hsa-miR-551b*
A_25_P00011480	hsa-miR-552
A_25_P00011222	hsa-miR-553
A_25_P00011289	hsa-miR-554
A_25_P00011319	hsa-miR-555
A_25_P00012718	hsa-miR-556-3p
A_25_P00012712	hsa-miR-556-5p
A_25_P00010345	hsa-miR-557
A_25_P00011325	hsa-miR-558
A_25_P00011643	hsa-miR-559
A_25_P00011294	hsa-miR-561
A_25_P00011391	hsa-miR-562
A_25_P00011427	hsa-miR-563
A_25_P00010786	hsa-miR-564
A_25_P00010946	hsa-miR-566
A_25_P00010944	hsa-miR-567
A_25_P00010933	hsa-miR-568
A_25_P00011297	hsa-miR-569
A_25_P00012719	hsa-miR-570
A_25_P00010633	hsa-miR-571
A_25_P00011097	hsa-miR-572
A_25_P00011366	hsa-miR-573
A_25_P00014895	hsa-miR-574-3p
A_25_P00012725	hsa-miR-574-5p
A_25_P00010808	hsa-miR-575
A_25_P00012735	hsa-miR-576-3p
A_25_P00012734	hsa-miR-576-5p
A_25_P00010514	hsa-miR-577
A_25_P00011586	hsa-miR-578
A_25_P00012740	hsa-miR-579
A_25_P00011614	hsa-miR-580
A_25_P00011284	hsa-miR-581
A_25_P00012746	hsa-miR-582-3p
A_25_P00014898	hsa-miR-582-5p
A_25_P00010891	hsa-miR-583
A_25_P00010635	hsa-miR-584
A_25_P00010960	hsa-miR-585
A_25_P00011418	hsa-miR-586
A_25_P00011446	hsa-miR-587
A_25_P00011456	hsa-miR-588
A_25_P00012764	hsa-miR-589
A_25_P00011049	hsa-miR-589*
A_25_P00012773	hsa-miR-590-3p
A_25_P00010655	hsa-miR-590-5p
A_25_P00011253	hsa-miR-591
A_25_P00010207	hsa-miR-592
A_25_P00012779	hsa-miR-593
A_25_P00011625	hsa-miR-593*
A_25_P00010347	hsa-miR-595
A_25_P00011350	hsa-miR-596
A_25_P00011262	hsa-miR-597
A_25_P00011057	hsa-miR-598
A_25_P00010948	hsa-miR-599
A_25_P00011619	hsa-miR-600
A_25_P00010643	hsa-miR-601
A_25_P00010873	hsa-miR-602
A_25_P00011385	hsa-miR-603
A_25_P00010914	hsa-miR-604
A_25_P00010397	hsa-miR-605
A_25_P00010435	hsa-miR-606
A_25_P00010935	hsa-miR-607
A_25_P00010264	hsa-miR-608
A_25_P00011303	hsa-miR-609
A_25_P00011024	hsa-miR-610
A_25_P00010903	hsa-miR-611
A_25_P00011237	hsa-miR-612
