"##For information about the Annotation file content,  please see the bundled README file."		
#%create_date=2009-11-13 GMT-08:00 20:57:17		
#%chip_type=HT_HG-U133A		
#%genome-species=Homo sapiens		
#%genome-version=hg19		
#%genome-version-ucsc=hg19		
#%genome-version-ncbi=GRCh37		
#%genome-version-create_date=2009-02-00		
#%netaffx-annotation-date=2009-11-23		
#%netaffx-annotation-netaffx-build=30		
#%netaffx-annotation-tabular-format-version=1.0		
Probe Set ID	Gene Symbol	Entrez Gene
201051_at	ANP32A	8125
201052_s_at	PSMF1	9491
201053_s_at	PSMF1	9491
201054_at	HNRNPA0	10949
201055_s_at	HNRNPA0	10949
201056_at	GOLGB1	2804
201057_s_at	GOLGB1	2804
201058_s_at	MYL9	10398
201059_at	CTTN	2017
201060_x_at	STOM	2040
201061_s_at	STOM	2040
201062_at	STOM	2040
201063_at	RCN1	5954
201064_s_at	PABPC4	8761
201065_s_at	GTF2I /// GTF2IP1 /// LOC100093631	100093631 /// 2969 /// 2970
201066_at	CYC1	1537
201067_at	PSMC2	5701
201068_s_at	PSMC2	5701
201069_at	MMP2	4313
201070_x_at	SF3B1	23451
201071_x_at	SF3B1	23451
201072_s_at	SMARCC1	6599
201073_s_at	SMARCC1	6599
201074_at	SMARCC1	6599
201075_s_at	SMARCC1	6599
201076_at	NHP2L1	4809
201077_s_at	NHP2L1	4809
201078_at	TM9SF2	9375
201079_at	SYNGR2	9144
201080_at	PIP4K2B	8396
201081_s_at	PIP4K2B	8396
201082_s_at	DCTN1	1639
201083_s_at	BCLAF1	9774
201084_s_at	BCLAF1	9774
201085_s_at	SON	6651
201086_x_at	SON	6651
201087_at	PXN	5829
201088_at	KPNA2	3838
201089_at	ATP6V1B2	526
201090_x_at	TUBA1B	10376
201091_s_at	CBX3	11335
201092_at	RBBP7	5931
201093_x_at	SDHA	6389
201094_at	RPS29	6235
201095_at	DAP	1611
201096_s_at	ARF4	378
201097_s_at	ARF4	378
201098_at	COPB2	9276
201099_at	USP9X	8239
201100_s_at	USP9X	8239
201101_s_at	BCLAF1	9774
201102_s_at	PFKL	5211
201103_x_at	NBPF10 /// NBPF11 /// NBPF15 /// NBPF16 /// NBPF20 /// NBPF8 /// RP11-94I2.2	100132406 /// 200030 /// 284565 /// 400818 /// 728841 /// 728912 /// 728936
201104_x_at	NBPF10 /// NBPF11 /// NBPF12 /// NBPF14 /// NBPF15 /// NBPF16 /// NBPF20 /// NBPF8 /// RP11-94I2.2	100132406 /// 200030 /// 25832 /// 284565 /// 400818 /// 440675 /// 728841 /// 728912 /// 728936
201105_at	LGALS1	3956
201106_at	GPX4	2879
201107_s_at	THBS1	7057
201108_s_at	THBS1	7057
201109_s_at	THBS1	7057
201110_s_at	THBS1	7057
201111_at	CSE1L	1434
201112_s_at	CSE1L	1434
201113_at	TUFM	7284
201114_x_at	PSMA7	5688
201115_at	POLD2	5425
201116_s_at	CPE	1363
201117_s_at	CPE	1363
201118_at	PGD	5226
201119_s_at	COX8A	1351
201120_s_at	PGRMC1	10857
201121_s_at	PGRMC1	10857
201122_x_at	EIF5A	1984
201123_s_at	EIF5A	1984
201124_at	ITGB5	3693
201125_s_at	ITGB5	3693
201126_s_at	MGAT1	4245
201127_s_at	ACLY	47
201128_s_at	ACLY	47
201129_at	SFRS7	6432
201130_s_at	CDH1	999
201131_s_at	CDH1	999
201132_at	HNRNPH2	3188
201133_s_at	PJA2	9867
201134_x_at	COX7C	1350
201135_at	ECHS1	1892
201136_at	PLP2	5355
201137_s_at	HLA-DPB1	3115
201138_s_at	SSB	6741
201139_s_at	SSB	6741
201140_s_at	RAB5C	5878
201141_at	GPNMB	10457
201142_at	EIF2S1	1965
201143_s_at	EIF2S1	1965
201144_s_at	EIF2S1	1965
201145_at	HAX1	10456
201146_at	NFE2L2	4780
201147_s_at	TIMP3	7078
201148_s_at	TIMP3	7078
201149_s_at	TIMP3	7078
201150_s_at	TIMP3	7078
201151_s_at	MBNL1	4154
201152_s_at	MBNL1	4154
201153_s_at	MBNL1	4154
201154_x_at	RPL4	6124
201155_s_at	MFN2	9927
201156_s_at	RAB5C	5878
201157_s_at	NMT1	4836
201158_at	NMT1	4836
201159_s_at	NMT1	4836
201160_s_at	CSDA	8531
201161_s_at	CSDA	8531
201162_at	IGFBP7	3490
201163_s_at	IGFBP7	3490
201164_s_at	PUM1	9698
201165_s_at	PUM1	9698
201166_s_at	PUM1	9698
201167_x_at	ARHGDIA	396
201168_x_at	ARHGDIA	396
201169_s_at	BHLHE40	8553
201170_s_at	BHLHE40	8553
201171_at	ATP6V0E1	8992
201172_x_at	ATP6V0E1	8992
201173_x_at	NUDC	10726
201174_s_at	TERF2IP	54386
201175_at	TMX2	51075
201176_s_at	ARCN1	372
201177_s_at	UBA2	10054
201178_at	FBXO7	25793
201179_s_at	GNAI3	2773
201180_s_at	GNAI3	2773
201181_at	GNAI3	2773
201182_s_at	CHD4	1108
201183_s_at	CHD4	1108
201184_s_at	CHD4	1108
201185_at	HTRA1	5654
201186_at	LRPAP1	4043
201187_s_at	ITPR3	3710
201188_s_at	ITPR3	3710
201189_s_at	ITPR3	3710
201190_s_at	PITPNA	5306
201191_at	PITPNA	5306
201192_s_at	PITPNA	5306
201193_at	IDH1	3417
201194_at	SEPW1	6415
201195_s_at	SLC7A5	8140
201196_s_at	AMD1	262
201197_at	AMD1	262
201198_s_at	PSMD1	5707
201199_s_at	PSMD1	5707
201200_at	CREG1	8804
201201_at	CSTB	1476
201202_at	PCNA	5111
201203_s_at	RRBP1	6238
201204_s_at	RRBP1	6238
201205_at	LOC100292328	100292328
201206_s_at	RRBP1	6238
201207_at	TNFAIP1	7126
201208_s_at	TNFAIP1	7126
201209_at	HDAC1	3065
201210_at	DDX3X	1654
201211_s_at	DDX3X	1654
201212_at	LGMN	5641
201213_at	PPP1R7	5510
201214_s_at	PPP1R7	5510
201215_at	PLS3	5358
201216_at	ERP29	10961
201217_x_at	RPL3	6122
201218_at	CTBP2	1488
201219_at	CTBP2	1488
201220_x_at	CTBP2	1488
201221_s_at	SNRNP70	6625
201222_s_at	RAD23B	5887
201223_s_at	RAD23B	5887
201224_s_at	SRRM1	10250
201225_s_at	SRRM1	10250
201226_at	NDUFB8 /// SEC31B	25956 /// 4714
